REF_DATE,Industry,Employed_000s,Year,Month,Month_Name,Quarter,Year_Month,Industry_Clean
2024-08-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",370.7,2024,8,Aug,Q3,2024-08,"Forestry, fishing, mining, quarrying, oil and gas"
2024-09-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",362.7,2024,9,Sep,Q3,2024-09,"Forestry, fishing, mining, quarrying, oil and gas"
2024-10-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",355.3,2024,10,Oct,Q4,2024-10,"Forestry, fishing, mining, quarrying, oil and gas"
2024-11-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",340.5,2024,11,Nov,Q4,2024-11,"Forestry, fishing, mining, quarrying, oil and gas"
2024-12-01,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",336.1,2024,12,Dec,Q4,2024-12,"Forestry, fishing, mining, quarrying, oil and gas"
2019-01-01,Utilities [22],136.6,2019,1,Jan,Q1,2019-01,Utilities
2019-02-01,Utilities [22],134.6,2019,2,Feb,Q1,2019-02,Utilities
2019-03-01,Utilities [22],133.6,2019,3,Mar,Q1,2019-03,Utilities
2019-04-01,Utilities [22],134.5,2019,4,Apr,Q2,2019-04,Utilities
2019-05-01,Utilities [22],139.8,2019,5,May,Q2,2019-05,Utilities
2019-06-01,Utilities [22],140.7,2019,6,Jun,Q2,2019-06,Utilities
2019-07-01,Utilities [22],136.1,2019,7,Jul,Q3,2019-07,Utilities
2019-08-01,Utilities [22],136.6,2019,8,Aug,Q3,2019-08,Utilities
2019-09-01,Utilities [22],126.1,2019,9,Sep,Q3,2019-09,Utilities
2019-10-01,Utilities [22],126.3,2019,10,Oct,Q4,2019-10,Utilities
2019-11-01,Utilities [22],128.1,2019,11,Nov,Q4,2019-11,Utilities
2019-12-01,Utilities [22],127.4,2019,12,Dec,Q4,2019-12,Utilities
2020-01-01,Utilities [22],130.6,2020,1,Jan,Q1,2020-01,Utilities
2020-02-01,Utilities [22],134.1,2020,2,Feb,Q1,2020-02,Utilities
2020-03-01,Utilities [22],128.4,2020,3,Mar,Q1,2020-03,Utilities
2020-04-01,Utilities [22],132.6,2020,4,Apr,Q2,2020-04,Utilities
2020-05-01,Utilities [22],131.0,2020,5,May,Q2,2020-05,Utilities
2020-06-01,Utilities [22],134.7,2020,6,Jun,Q2,2020-06,Utilities
2020-07-01,Utilities [22],133.5,2020,7,Jul,Q3,2020-07,Utilities
2020-08-01,Utilities [22],134.5,2020,8,Aug,Q3,2020-08,Utilities
2020-09-01,Utilities [22],140.8,2020,9,Sep,Q3,2020-09,Utilities
2020-10-01,Utilities [22],138.5,2020,10,Oct,Q4,2020-10,Utilities
2020-11-01,Utilities [22],132.9,2020,11,Nov,Q4,2020-11,Utilities
2020-12-01,Utilities [22],134.5,2020,12,Dec,Q4,2020-12,Utilities
2021-01-01,Utilities [22],134.4,2021,1,Jan,Q1,2021-01,Utilities
2021-02-01,Utilities [22],140.5,2021,2,Feb,Q1,2021-02,Utilities
2021-03-01,Utilities [22],139.8,2021,3,Mar,Q1,2021-03,Utilities
2021-04-01,Utilities [22],138.9,2021,4,Apr,Q2,2021-04,Utilities
2021-05-01,Utilities [22],141.0,2021,5,May,Q2,2021-05,Utilities
2021-06-01,Utilities [22],143.7,2021,6,Jun,Q2,2021-06,Utilities
2021-07-01,Utilities [22],145.7,2021,7,Jul,Q3,2021-07,Utilities
2021-08-01,Utilities [22],141.5,2021,8,Aug,Q3,2021-08,Utilities
2021-09-01,Utilities [22],145.5,2021,9,Sep,Q3,2021-09,Utilities
2021-10-01,Utilities [22],143.5,2021,10,Oct,Q4,2021-10,Utilities
2021-11-01,Utilities [22],135.1,2021,11,Nov,Q4,2021-11,Utilities
2021-12-01,Utilities [22],138.4,2021,12,Dec,Q4,2021-12,Utilities
2022-01-01,Utilities [22],141.9,2022,1,Jan,Q1,2022-01,Utilities
2022-02-01,Utilities [22],145.4,2022,2,Feb,Q1,2022-02,Utilities
2022-03-01,Utilities [22],141.3,2022,3,Mar,Q1,2022-03,Utilities
2022-04-01,Utilities [22],148.5,2022,4,Apr,Q2,2022-04,Utilities
2022-05-01,Utilities [22],154.1,2022,5,May,Q2,2022-05,Utilities
2022-06-01,Utilities [22],152.7,2022,6,Jun,Q2,2022-06,Utilities
2022-07-01,Utilities [22],154.0,2022,7,Jul,Q3,2022-07,Utilities
2022-08-01,Utilities [22],159.0,2022,8,Aug,Q3,2022-08,Utilities
2022-09-01,Utilities [22],158.0,2022,9,Sep,Q3,2022-09,Utilities
2022-10-01,Utilities [22],157.8,2022,10,Oct,Q4,2022-10,Utilities
2022-11-01,Utilities [22],153.0,2022,11,Nov,Q4,2022-11,Utilities
2022-12-01,Utilities [22],144.1,2022,12,Dec,Q4,2022-12,Utilities
2023-01-01,Utilities [22],150.4,2023,1,Jan,Q1,2023-01,Utilities
2023-02-01,Utilities [22],160.7,2023,2,Feb,Q1,2023-02,Utilities
2023-03-01,Utilities [22],158.4,2023,3,Mar,Q1,2023-03,Utilities
2023-04-01,Utilities [22],158.0,2023,4,Apr,Q2,2023-04,Utilities
2023-05-01,Utilities [22],167.7,2023,5,May,Q2,2023-05,Utilities
2023-06-01,Utilities [22],163.6,2023,6,Jun,Q2,2023-06,Utilities
2023-07-01,Utilities [22],164.4,2023,7,Jul,Q3,2023-07,Utilities
2023-08-01,Utilities [22],163.8,2023,8,Aug,Q3,2023-08,Utilities
2023-09-01,Utilities [22],157.1,2023,9,Sep,Q3,2023-09,Utilities
2023-10-01,Utilities [22],155.0,2023,10,Oct,Q4,2023-10,Utilities
2023-11-01,Utilities [22],155.2,2023,11,Nov,Q4,2023-11,Utilities
2023-12-01,Utilities [22],156.3,2023,12,Dec,Q4,2023-12,Utilities
2024-01-01,Utilities [22],154.6,2024,1,Jan,Q1,2024-01,Utilities
2024-02-01,Utilities [22],157.2,2024,2,Feb,Q1,2024-02,Utilities
2024-03-01,Utilities [22],158.2,2024,3,Mar,Q1,2024-03,Utilities
2024-04-01,Utilities [22],152.6,2024,4,Apr,Q2,2024-04,Utilities
2024-05-01,Utilities [22],153.3,2024,5,May,Q2,2024-05,Utilities
2024-06-01,Utilities [22],150.0,2024,6,Jun,Q2,2024-06,Utilities
2024-07-01,Utilities [22],155.9,2024,7,Jul,Q3,2024-07,Utilities
2024-08-01,Utilities [22],150.9,2024,8,Aug,Q3,2024-08,Utilities
2024-09-01,Utilities [22],150.3,2024,9,Sep,Q3,2024-09,Utilities
2024-10-01,Utilities [22],149.4,2024,10,Oct,Q4,2024-10,Utilities
2024-11-01,Utilities [22],146.2,2024,11,Nov,Q4,2024-11,Utilities
2024-12-01,Utilities [22],157.1,2024,12,Dec,Q4,2024-12,Utilities
2019-01-01,Construction [23],1323.8,2019,1,Jan,Q1,2019-01,Construction
2019-02-01,Construction [23],1333.2,2019,2,Feb,Q1,2019-02,Construction
2019-03-01,Construction [23],1342.6,2019,3,Mar,Q1,2019-03,Construction
2019-04-01,Construction [23],1398.9,2019,4,Apr,Q2,2019-04,Construction
2019-05-01,Construction [23],1464.0,2019,5,May,Q2,2019-05,Construction
2019-06-01,Construction [23],1501.0,2019,6,Jun,Q2,2019-06,Construction
2019-07-01,Construction [23],1552.5,2019,7,Jul,Q3,2019-07,Construction
2019-08-01,Construction [23],1575.9,2019,8,Aug,Q3,2019-08,Construction
2019-09-01,Construction [23],1581.2,2019,9,Sep,Q3,2019-09,Construction
2019-10-01,Construction [23],1558.5,2019,10,Oct,Q4,2019-10,Construction
2019-11-01,Construction [23],1538.2,2019,11,Nov,Q4,2019-11,Construction
2019-12-01,Construction [23],1497.1,2019,12,Dec,Q4,2019-12,Construction
2020-01-01,Construction [23],1403.6,2020,1,Jan,Q1,2020-01,Construction
2020-02-01,Construction [23],1411.1,2020,2,Feb,Q1,2020-02,Construction
2020-03-01,Construction [23],1384.3,2020,3,Mar,Q1,2020-03,Construction
2020-04-01,Construction [23],1134.4,2020,4,Apr,Q2,2020-04,Construction
2020-05-01,Construction [23],1304.1,2020,5,May,Q2,2020-05,Construction
2020-06-01,Construction [23],1459.1,2020,6,Jun,Q2,2020-06,Construction
2020-07-01,Construction [23],1484.3,2020,7,Jul,Q3,2020-07,Construction
2020-08-01,Construction [23],1510.1,2020,8,Aug,Q3,2020-08,Construction
2020-09-01,Construction [23],1507.7,2020,9,Sep,Q3,2020-09,Construction
2020-10-01,Construction [23],1488.5,2020,10,Oct,Q4,2020-10,Construction
2020-11-01,Construction [23],1463.0,2020,11,Nov,Q4,2020-11,Construction
2020-12-01,Construction [23],1420.1,2020,12,Dec,Q4,2020-12,Construction
2021-01-01,Construction [23],1357.6,2021,1,Jan,Q1,2021-01,Construction
2021-02-01,Construction [23],1357.4,2021,2,Feb,Q1,2021-02,Construction
2021-03-01,Construction [23],1376.8,2021,3,Mar,Q1,2021-03,Construction
2021-04-01,Construction [23],1417.0,2021,4,Apr,Q2,2021-04,Construction
2021-05-01,Construction [23],1468.0,2021,5,May,Q2,2021-05,Construction
2021-06-01,Construction [23],1494.2,2021,6,Jun,Q2,2021-06,Construction
2021-07-01,Construction [23],1543.8,2021,7,Jul,Q3,2021-07,Construction
2021-08-01,Construction [23],1548.2,2021,8,Aug,Q3,2021-08,Construction
2021-09-01,Construction [23],1528.3,2021,9,Sep,Q3,2021-09,Construction
2021-10-01,Construction [23],1509.4,2021,10,Oct,Q4,2021-10,Construction
2021-11-01,Construction [23],1485.7,2021,11,Nov,Q4,2021-11,Construction
2021-12-01,Construction [23],1446.4,2021,12,Dec,Q4,2021-12,Construction
2022-01-01,Construction [23],1389.0,2022,1,Jan,Q1,2022-01,Construction
2022-02-01,Construction [23],1436.6,2022,2,Feb,Q1,2022-02,Construction
2022-03-01,Construction [23],1454.7,2022,3,Mar,Q1,2022-03,Construction
2022-04-01,Construction [23],1490.0,2022,4,Apr,Q2,2022-04,Construction
2022-05-01,Construction [23],1576.2,2022,5,May,Q2,2022-05,Construction
2022-06-01,Construction [23],1610.7,2022,6,Jun,Q2,2022-06,Construction
2022-07-01,Construction [23],1652.9,2022,7,Jul,Q3,2022-07,Construction
2022-08-01,Construction [23],1640.8,2022,8,Aug,Q3,2022-08,Construction
2022-09-01,Construction [23],1611.2,2022,9,Sep,Q3,2022-09,Construction
2022-10-01,Construction [23],1619.1,2022,10,Oct,Q4,2022-10,Construction
2022-11-01,Construction [23],1586.8,2022,11,Nov,Q4,2022-11,Construction
2022-12-01,Construction [23],1563.8,2022,12,Dec,Q4,2022-12,Construction
2023-01-01,Construction [23],1511.6,2023,1,Jan,Q1,2023-01,Construction
2023-02-01,Construction [23],1519.4,2023,2,Feb,Q1,2023-02,Construction
2023-03-01,Construction [23],1523.3,2023,3,Mar,Q1,2023-03,Construction
2023-04-01,Construction [23],1561.6,2023,4,Apr,Q2,2023-04,Construction
2023-05-01,Construction [23],1640.1,2023,5,May,Q2,2023-05,Construction
2023-06-01,Construction [23],1660.5,2023,6,Jun,Q2,2023-06,Construction
2023-07-01,Construction [23],1652.1,2023,7,Jul,Q3,2023-07,Construction
2023-08-01,Construction [23],1673.2,2023,8,Aug,Q3,2023-08,Construction
2023-09-01,Construction [23],1629.7,2023,9,Sep,Q3,2023-09,Construction
2023-10-01,Construction [23],1640.1,2023,10,Oct,Q4,2023-10,Construction
2023-11-01,Construction [23],1629.5,2023,11,Nov,Q4,2023-11,Construction
2023-12-01,Construction [23],1571.3,2023,12,Dec,Q4,2023-12,Construction
2024-01-01,Construction [23],1491.0,2024,1,Jan,Q1,2024-01,Construction
2024-02-01,Construction [23],1524.6,2024,2,Feb,Q1,2024-02,Construction
2024-03-01,Construction [23],1554.7,2024,3,Mar,Q1,2024-03,Construction
2024-04-01,Construction [23],1580.5,2024,4,Apr,Q2,2024-04,Construction
2024-05-01,Construction [23],1610.2,2024,5,May,Q2,2024-05,Construction
2024-06-01,Construction [23],1627.9,2024,6,Jun,Q2,2024-06,Construction
2024-07-01,Construction [23],1673.3,2024,7,Jul,Q3,2024-07,Construction
2024-08-01,Construction [23],1676.3,2024,8,Aug,Q3,2024-08,Construction
2024-09-01,Construction [23],1655.6,2024,9,Sep,Q3,2024-09,Construction
2024-10-01,Construction [23],1657.2,2024,10,Oct,Q4,2024-10,Construction
2024-11-01,Construction [23],1637.9,2024,11,Nov,Q4,2024-11,Construction
2024-12-01,Construction [23],1598.6,2024,12,Dec,Q4,2024-12,Construction
2019-01-01,Manufacturing [31-33],1734.1,2019,1,Jan,Q1,2019-01,Manufacturing
2019-02-01,Manufacturing [31-33],1725.5,2019,2,Feb,Q1,2019-02,Manufacturing
2019-03-01,Manufacturing [31-33],1722.9,2019,3,Mar,Q1,2019-03,Manufacturing
2019-04-01,Manufacturing [31-33],1751.5,2019,4,Apr,Q2,2019-04,Manufacturing
2019-05-01,Manufacturing [31-33],1800.9,2019,5,May,Q2,2019-05,Manufacturing
2019-06-01,Manufacturing [31-33],1805.1,2019,6,Jun,Q2,2019-06,Manufacturing
2019-07-01,Manufacturing [31-33],1804.5,2019,7,Jul,Q3,2019-07,Manufacturing
2019-08-01,Manufacturing [31-33],1806.4,2019,8,Aug,Q3,2019-08,Manufacturing
2019-09-01,Manufacturing [31-33],1766.5,2019,9,Sep,Q3,2019-09,Manufacturing
2019-10-01,Manufacturing [31-33],1739.2,2019,10,Oct,Q4,2019-10,Manufacturing
2019-11-01,Manufacturing [31-33],1716.0,2019,11,Nov,Q4,2019-11,Manufacturing
2019-12-01,Manufacturing [31-33],1713.7,2019,12,Dec,Q4,2019-12,Manufacturing
2020-01-01,Manufacturing [31-33],1710.9,2020,1,Jan,Q1,2020-01,Manufacturing
2020-02-01,Manufacturing [31-33],1727.5,2020,2,Feb,Q1,2020-02,Manufacturing
2020-03-01,Manufacturing [31-33],1694.1,2020,3,Mar,Q1,2020-03,Manufacturing
2020-04-01,Manufacturing [31-33],1442.2,2020,4,Apr,Q2,2020-04,Manufacturing
2020-05-01,Manufacturing [31-33],1555.1,2020,5,May,Q2,2020-05,Manufacturing
2020-06-01,Manufacturing [31-33],1640.1,2020,6,Jun,Q2,2020-06,Manufacturing
2020-07-01,Manufacturing [31-33],1690.0,2020,7,Jul,Q3,2020-07,Manufacturing
2020-08-01,Manufacturing [31-33],1720.0,2020,8,Aug,Q3,2020-08,Manufacturing
2020-09-01,Manufacturing [31-33],1737.9,2020,9,Sep,Q3,2020-09,Manufacturing
2020-10-01,Manufacturing [31-33],1736.8,2020,10,Oct,Q4,2020-10,Manufacturing
2020-11-01,Manufacturing [31-33],1746.5,2020,11,Nov,Q4,2020-11,Manufacturing
2020-12-01,Manufacturing [31-33],1752.6,2020,12,Dec,Q4,2020-12,Manufacturing
2021-01-01,Manufacturing [31-33],1722.8,2021,1,Jan,Q1,2021-01,Manufacturing
2021-02-01,Manufacturing [31-33],1734.9,2021,2,Feb,Q1,2021-02,Manufacturing
2021-03-01,Manufacturing [31-33],1741.4,2021,3,Mar,Q1,2021-03,Manufacturing
2021-04-01,Manufacturing [31-33],1747.9,2021,4,Apr,Q2,2021-04,Manufacturing
2021-05-01,Manufacturing [31-33],1758.9,2021,5,May,Q2,2021-05,Manufacturing
2021-06-01,Manufacturing [31-33],1774.6,2021,6,Jun,Q2,2021-06,Manufacturing
2021-07-01,Manufacturing [31-33],1761.9,2021,7,Jul,Q3,2021-07,Manufacturing
2021-08-01,Manufacturing [31-33],1769.2,2021,8,Aug,Q3,2021-08,Manufacturing
2021-09-01,Manufacturing [31-33],1748.3,2021,9,Sep,Q3,2021-09,Manufacturing
2021-10-01,Manufacturing [31-33],1756.9,2021,10,Oct,Q4,2021-10,Manufacturing
2021-11-01,Manufacturing [31-33],1786.2,2021,11,Nov,Q4,2021-11,Manufacturing
2021-12-01,Manufacturing [31-33],1781.4,2021,12,Dec,Q4,2021-12,Manufacturing
2022-01-01,Manufacturing [31-33],1752.7,2022,1,Jan,Q1,2022-01,Manufacturing
2022-02-01,Manufacturing [31-33],1770.4,2022,2,Feb,Q1,2022-02,Manufacturing
2022-03-01,Manufacturing [31-33],1775.8,2022,3,Mar,Q1,2022-03,Manufacturing
2022-04-01,Manufacturing [31-33],1788.9,2022,4,Apr,Q2,2022-04,Manufacturing
2022-05-01,Manufacturing [31-33],1793.3,2022,5,May,Q2,2022-05,Manufacturing
2022-06-01,Manufacturing [31-33],1828.0,2022,6,Jun,Q2,2022-06,Manufacturing
2022-07-01,Manufacturing [31-33],1846.6,2022,7,Jul,Q3,2022-07,Manufacturing
2022-08-01,Manufacturing [31-33],1833.3,2022,8,Aug,Q3,2022-08,Manufacturing
2022-09-01,Manufacturing [31-33],1782.4,2022,9,Sep,Q3,2022-09,Manufacturing
2022-10-01,Manufacturing [31-33],1799.2,2022,10,Oct,Q4,2022-10,Manufacturing
2022-11-01,Manufacturing [31-33],1803.6,2022,11,Nov,Q4,2022-11,Manufacturing
2022-12-01,Manufacturing [31-33],1800.4,2022,12,Dec,Q4,2022-12,Manufacturing
2023-01-01,Manufacturing [31-33],1786.5,2023,1,Jan,Q1,2023-01,Manufacturing
2023-02-01,Manufacturing [31-33],1808.5,2023,2,Feb,Q1,2023-02,Manufacturing
2023-03-01,Manufacturing [31-33],1804.3,2023,3,Mar,Q1,2023-03,Manufacturing
2023-04-01,Manufacturing [31-33],1812.5,2023,4,Apr,Q2,2023-04,Manufacturing
2023-05-01,Manufacturing [31-33],1862.4,2023,5,May,Q2,2023-05,Manufacturing
2023-06-01,Manufacturing [31-33],1897.0,2023,6,Jun,Q2,2023-06,Manufacturing
2023-07-01,Manufacturing [31-33],1915.1,2023,7,Jul,Q3,2023-07,Manufacturing
2023-08-01,Manufacturing [31-33],1876.9,2023,8,Aug,Q3,2023-08,Manufacturing
2023-09-01,Manufacturing [31-33],1842.0,2023,9,Sep,Q3,2023-09,Manufacturing
2023-10-01,Manufacturing [31-33],1822.1,2023,10,Oct,Q4,2023-10,Manufacturing
2023-11-01,Manufacturing [31-33],1857.0,2023,11,Nov,Q4,2023-11,Manufacturing
2023-12-01,Manufacturing [31-33],1838.2,2023,12,Dec,Q4,2023-12,Manufacturing
2024-01-01,Manufacturing [31-33],1813.3,2024,1,Jan,Q1,2024-01,Manufacturing
2024-02-01,Manufacturing [31-33],1812.5,2024,2,Feb,Q1,2024-02,Manufacturing
2024-03-01,Manufacturing [31-33],1826.4,2024,3,Mar,Q1,2024-03,Manufacturing
2024-04-01,Manufacturing [31-33],1838.9,2024,4,Apr,Q2,2024-04,Manufacturing
2024-05-01,Manufacturing [31-33],1869.2,2024,5,May,Q2,2024-05,Manufacturing
2024-06-01,Manufacturing [31-33],1898.9,2024,6,Jun,Q2,2024-06,Manufacturing
2024-07-01,Manufacturing [31-33],1891.6,2024,7,Jul,Q3,2024-07,Manufacturing
2024-08-01,Manufacturing [31-33],1895.1,2024,8,Aug,Q3,2024-08,Manufacturing
2024-09-01,Manufacturing [31-33],1839.9,2024,9,Sep,Q3,2024-09,Manufacturing
2024-10-01,Manufacturing [31-33],1844.4,2024,10,Oct,Q4,2024-10,Manufacturing
2024-11-01,Manufacturing [31-33],1826.5,2024,11,Nov,Q4,2024-11,Manufacturing
2024-12-01,Manufacturing [31-33],1828.5,2024,12,Dec,Q4,2024-12,Manufacturing
2019-01-01,"Wholesale and retail trade [41, 44-45]",2877.2,2019,1,Jan,Q1,2019-01,Wholesale and retail trade
2019-02-01,"Wholesale and retail trade [41, 44-45]",2869.1,2019,2,Feb,Q1,2019-02,Wholesale and retail trade
2019-03-01,"Wholesale and retail trade [41, 44-45]",2902.2,2019,3,Mar,Q1,2019-03,Wholesale and retail trade
2019-04-01,"Wholesale and retail trade [41, 44-45]",2925.5,2019,4,Apr,Q2,2019-04,Wholesale and retail trade
2019-05-01,"Wholesale and retail trade [41, 44-45]",2975.1,2019,5,May,Q2,2019-05,Wholesale and retail trade
2019-06-01,"Wholesale and retail trade [41, 44-45]",2955.7,2019,6,Jun,Q2,2019-06,Wholesale and retail trade
2019-07-01,"Wholesale and retail trade [41, 44-45]",2951.3,2019,7,Jul,Q3,2019-07,Wholesale and retail trade
2019-08-01,"Wholesale and retail trade [41, 44-45]",2949.1,2019,8,Aug,Q3,2019-08,Wholesale and retail trade
2019-09-01,"Wholesale and retail trade [41, 44-45]",2914.1,2019,9,Sep,Q3,2019-09,Wholesale and retail trade
2019-10-01,"Wholesale and retail trade [41, 44-45]",2928.1,2019,10,Oct,Q4,2019-10,Wholesale and retail trade
2019-11-01,"Wholesale and retail trade [41, 44-45]",2943.2,2019,11,Nov,Q4,2019-11,Wholesale and retail trade
2019-12-01,"Wholesale and retail trade [41, 44-45]",2975.8,2019,12,Dec,Q4,2019-12,Wholesale and retail trade
2020-01-01,"Wholesale and retail trade [41, 44-45]",2904.1,2020,1,Jan,Q1,2020-01,Wholesale and retail trade
2020-02-01,"Wholesale and retail trade [41, 44-45]",2920.4,2020,2,Feb,Q1,2020-02,Wholesale and retail trade
2020-03-01,"Wholesale and retail trade [41, 44-45]",2722.5,2020,3,Mar,Q1,2020-03,Wholesale and retail trade
2020-04-01,"Wholesale and retail trade [41, 44-45]",2318.8,2020,4,Apr,Q2,2020-04,Wholesale and retail trade
2020-05-01,"Wholesale and retail trade [41, 44-45]",2445.3,2020,5,May,Q2,2020-05,Wholesale and retail trade
2020-06-01,"Wholesale and retail trade [41, 44-45]",2683.6,2020,6,Jun,Q2,2020-06,Wholesale and retail trade
2020-07-01,"Wholesale and retail trade [41, 44-45]",2803.9,2020,7,Jul,Q3,2020-07,Wholesale and retail trade
2020-08-01,"Wholesale and retail trade [41, 44-45]",2830.7,2020,8,Aug,Q3,2020-08,Wholesale and retail trade
2020-09-01,"Wholesale and retail trade [41, 44-45]",2815.5,2020,9,Sep,Q3,2020-09,Wholesale and retail trade
2020-10-01,"Wholesale and retail trade [41, 44-45]",2869.0,2020,10,Oct,Q4,2020-10,Wholesale and retail trade
2020-11-01,"Wholesale and retail trade [41, 44-45]",2907.3,2020,11,Nov,Q4,2020-11,Wholesale and retail trade
2020-12-01,"Wholesale and retail trade [41, 44-45]",2928.4,2020,12,Dec,Q4,2020-12,Wholesale and retail trade
2021-01-01,"Wholesale and retail trade [41, 44-45]",2672.6,2021,1,Jan,Q1,2021-01,Wholesale and retail trade
2021-02-01,"Wholesale and retail trade [41, 44-45]",2779.4,2021,2,Feb,Q1,2021-02,Wholesale and retail trade
2021-03-01,"Wholesale and retail trade [41, 44-45]",2864.3,2021,3,Mar,Q1,2021-03,Wholesale and retail trade
2021-04-01,"Wholesale and retail trade [41, 44-45]",2799.7,2021,4,Apr,Q2,2021-04,Wholesale and retail trade
2021-05-01,"Wholesale and retail trade [41, 44-45]",2791.8,2021,5,May,Q2,2021-05,Wholesale and retail trade
2021-06-01,"Wholesale and retail trade [41, 44-45]",2886.0,2021,6,Jun,Q2,2021-06,Wholesale and retail trade
2021-07-01,"Wholesale and retail trade [41, 44-45]",2913.2,2021,7,Jul,Q3,2021-07,Wholesale and retail trade
2021-08-01,"Wholesale and retail trade [41, 44-45]",2911.3,2021,8,Aug,Q3,2021-08,Wholesale and retail trade
2021-09-01,"Wholesale and retail trade [41, 44-45]",2891.8,2021,9,Sep,Q3,2021-09,Wholesale and retail trade
2021-10-01,"Wholesale and retail trade [41, 44-45]",2973.9,2021,10,Oct,Q4,2021-10,Wholesale and retail trade
2021-11-01,"Wholesale and retail trade [41, 44-45]",3019.1,2021,11,Nov,Q4,2021-11,Wholesale and retail trade
2021-12-01,"Wholesale and retail trade [41, 44-45]",3053.9,2021,12,Dec,Q4,2021-12,Wholesale and retail trade
2022-01-01,"Wholesale and retail trade [41, 44-45]",2936.7,2022,1,Jan,Q1,2022-01,Wholesale and retail trade
2022-02-01,"Wholesale and retail trade [41, 44-45]",2962.5,2022,2,Feb,Q1,2022-02,Wholesale and retail trade
2022-03-01,"Wholesale and retail trade [41, 44-45]",3001.1,2022,3,Mar,Q1,2022-03,Wholesale and retail trade
2022-04-01,"Wholesale and retail trade [41, 44-45]",3016.5,2022,4,Apr,Q2,2022-04,Wholesale and retail trade
2022-05-01,"Wholesale and retail trade [41, 44-45]",3080.8,2022,5,May,Q2,2022-05,Wholesale and retail trade
2022-06-01,"Wholesale and retail trade [41, 44-45]",3017.7,2022,6,Jun,Q2,2022-06,Wholesale and retail trade
2022-07-01,"Wholesale and retail trade [41, 44-45]",3021.0,2022,7,Jul,Q3,2022-07,Wholesale and retail trade
2022-08-01,"Wholesale and retail trade [41, 44-45]",3003.5,2022,8,Aug,Q3,2022-08,Wholesale and retail trade
2022-09-01,"Wholesale and retail trade [41, 44-45]",2950.3,2022,9,Sep,Q3,2022-09,Wholesale and retail trade
2022-10-01,"Wholesale and retail trade [41, 44-45]",2949.1,2022,10,Oct,Q4,2022-10,Wholesale and retail trade
2022-11-01,"Wholesale and retail trade [41, 44-45]",2970.4,2022,11,Nov,Q4,2022-11,Wholesale and retail trade
2022-12-01,"Wholesale and retail trade [41, 44-45]",2964.0,2022,12,Dec,Q4,2022-12,Wholesale and retail trade
2023-01-01,"Wholesale and retail trade [41, 44-45]",2934.6,2023,1,Jan,Q1,2023-01,Wholesale and retail trade
2023-02-01,"Wholesale and retail trade [41, 44-45]",2932.1,2023,2,Feb,Q1,2023-02,Wholesale and retail trade
2023-03-01,"Wholesale and retail trade [41, 44-45]",2953.0,2023,3,Mar,Q1,2023-03,Wholesale and retail trade
2023-04-01,"Wholesale and retail trade [41, 44-45]",2993.1,2023,4,Apr,Q2,2023-04,Wholesale and retail trade
2023-05-01,"Wholesale and retail trade [41, 44-45]",3009.1,2023,5,May,Q2,2023-05,Wholesale and retail trade
2023-06-01,"Wholesale and retail trade [41, 44-45]",3031.9,2023,6,Jun,Q2,2023-06,Wholesale and retail trade
2023-07-01,"Wholesale and retail trade [41, 44-45]",3031.5,2023,7,Jul,Q3,2023-07,Wholesale and retail trade
2023-08-01,"Wholesale and retail trade [41, 44-45]",3040.6,2023,8,Aug,Q3,2023-08,Wholesale and retail trade
2023-09-01,"Wholesale and retail trade [41, 44-45]",2981.0,2023,9,Sep,Q3,2023-09,Wholesale and retail trade
2023-10-01,"Wholesale and retail trade [41, 44-45]",2982.9,2023,10,Oct,Q4,2023-10,Wholesale and retail trade
2023-11-01,"Wholesale and retail trade [41, 44-45]",2990.3,2023,11,Nov,Q4,2023-11,Wholesale and retail trade
2023-12-01,"Wholesale and retail trade [41, 44-45]",2993.4,2023,12,Dec,Q4,2023-12,Wholesale and retail trade
2024-01-01,"Wholesale and retail trade [41, 44-45]",2945.3,2024,1,Jan,Q1,2024-01,Wholesale and retail trade
2024-02-01,"Wholesale and retail trade [41, 44-45]",2926.3,2024,2,Feb,Q1,2024-02,Wholesale and retail trade
2024-03-01,"Wholesale and retail trade [41, 44-45]",2919.4,2024,3,Mar,Q1,2024-03,Wholesale and retail trade
2024-04-01,"Wholesale and retail trade [41, 44-45]",2947.8,2024,4,Apr,Q2,2024-04,Wholesale and retail trade
2024-05-01,"Wholesale and retail trade [41, 44-45]",2969.0,2024,5,May,Q2,2024-05,Wholesale and retail trade
2024-06-01,"Wholesale and retail trade [41, 44-45]",2950.6,2024,6,Jun,Q2,2024-06,Wholesale and retail trade
2024-07-01,"Wholesale and retail trade [41, 44-45]",2917.3,2024,7,Jul,Q3,2024-07,Wholesale and retail trade
2024-08-01,"Wholesale and retail trade [41, 44-45]",2943.3,2024,8,Aug,Q3,2024-08,Wholesale and retail trade
2024-09-01,"Wholesale and retail trade [41, 44-45]",2909.8,2024,9,Sep,Q3,2024-09,Wholesale and retail trade
